		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   18   30   21   23   25   17   29   26  6.976129 0.539210 SUCCESS   0
000000011   20   27   26   23   29   18   25   31  5.791185 0.670609 SUCCESS   1
000000101   32   37   24   18   23   21   32   19 15.172101 0.055884 SUCCESS   2
000000111   27   20   25   23   28   21   23   36  8.028677 0.430674 SUCCESS   3
000001001   26   25   27   19   24   28   32   25  4.665158 0.792691 SUCCESS   4
000001011   26   36   20   25   27   23   29   28  8.462274 0.389664 SUCCESS   5
000001101   17   29   30   33   16   27   29   25 11.867498 0.157214 SUCCESS   6
000001111   23   28   22   17   34   23   27   29  8.367611 0.398409 SUCCESS   7
000010001   34   26   24   20   26   32   31   28  9.793515 0.279819 SUCCESS   8
000010011   30   30   25   20   27   29   29   23  5.657466 0.685539 SUCCESS   9
000010101   28   22   21   34   24   24   26   19  6.545180 0.586401 SUCCESS  10
000010111   27   28   19   21   31   24   28   25  4.978274 0.759896 SUCCESS  11
000011001   27   19   25   22   21   10   30   16 15.370695 0.052326 SUCCESS  12
000011011   19   37   25   32   21   26   29   25 11.936344 0.154067 SUCCESS  13
000011101   25   25   24   18   28   24   16   26  5.425111 0.711322 SUCCESS  14
000011111   21   35   27   19   32   23   23   25  9.401623 0.309556 SUCCESS  15
000100011   35   23   27   21   25   28   30   25  7.530206 0.480650 SUCCESS  16
000100101   26   27   20   25   22   24   26   21  2.078803 0.978500 SUCCESS  17
000100111   22   23   23   26   28   31   23   21  3.486172 0.900260 SUCCESS  18
000101001   32   28   24   23   26   35   23   24  8.047213 0.428872 SUCCESS  19
000101011   23   27   20   35   21   17   22   28  9.552555 0.297844 SUCCESS  20
000101101   24   32   30   23   32   20   27   22  7.665250 0.466833 SUCCESS  21
000101111   21   29   23   23   22   25   25   17  4.145504 0.843763 SUCCESS  22
000110011   29   15   31   22   19   14   34   25 16.466272 0.036172 SUCCESS  23
000110101   18   25   38   29   25   23   23   26 10.774569 0.214802 SUCCESS  24
000110111   26   33   25   37   24   34   22   31 15.988984 0.042538 SUCCESS  25
000111001   26   22   24   34   16   21   30   22  9.315566 0.316379 SUCCESS  26
000111011   28   20   18   19   22   25   21   31  6.933101 0.543868 SUCCESS  27
000111101   26   26   18   25   27   25   17   27  4.875005 0.770848 SUCCESS  28
000111111   27   32   26   17   26   32   27   24  8.012790 0.432222 SUCCESS  29
001000011   23   26   27   24   27   17   17   31  7.256147 0.509265 SUCCESS  30
001000101   15   24   33   18   32   21   18   30 14.619348 0.066984 SUCCESS  31
001000111   23   21   28   18   29   31   24   30  6.935749 0.543581 SUCCESS  32
001001011   30   29   28   24   25   28   29   19  5.479393 0.705322 SUCCESS  33
001001101   25   24   35   16   25   30   26   33 12.360011 0.135849 SUCCESS  34
001001111   20   23   31   23   23   40   17   26 15.654684 0.047598 SUCCESS  35
001010011   35   28   21   21   20   40   15   17 23.483258 0.002796 FAILURE  36
001010101   22   31   23   24   21   25   24   22  2.934743 0.938386 SUCCESS  37
001010111   26   29   24   29   20   18   19   26  5.807073 0.668832 SUCCESS  38
001011011   28   30   24   20   37   20   31   22 12.342800 0.136552 SUCCESS  39
001011101   21   22   14   23   25   20   26   28  6.890072 0.548538 SUCCESS  40
001011111   20   28   16   31   24   22   26   25  6.578279 0.582739 SUCCESS  41
001100101   21   18   17   24   20   21   25   15  9.616105 0.293010 SUCCESS  42
001100111   24   15   31   24   28   19   31   29 10.129801 0.256034 SUCCESS  43
001101011   28   26   25   28   22   30   29   28  4.242815 0.834578 SUCCESS  44
001101101   25   25   28   22   23   21   16   22  4.628087 0.796486 SUCCESS  45
001101111   24   31   19   31   27   34   23   26  9.318214 0.316167 SUCCESS  46
001110101   25   22   29   25   27   21   21   15  6.179106 0.627177 SUCCESS  47
001110111   28   15   23   15   29   24   26   33 12.264024 0.139807 SUCCESS  48
001111011   26   21   17   27   22   18   20   30  7.330950 0.501383 SUCCESS  49
001111101   22   23   16   32   31   25   25   27  7.926732 0.440660 SUCCESS  50
001111111   22   20   22   14   20   30   23   28  8.669474 0.370941 SUCCESS  51
010000011   23   26   23   24   24   20   37   20  8.654910 0.372238 SUCCESS  52
010000111   27   29   25   27   26   20   14   22  7.238935 0.511087 SUCCESS  53
010001011   17   23   28   15   35   20   15   25 16.032675 0.041915 SUCCESS  54
010001111   21   26   22   10   30   30   27   22 12.814129 0.118407 SUCCESS  55
010010011   19   23   39   25   24   38   23   23 18.376083 0.018577 SUCCESS  56
010010111   24   28   25   33   16   21   29   22  8.324582 0.402423 SUCCESS  57
010011011   25   17   30   27   29   27   18   26  6.977453 0.539067 SUCCESS  58
010011111   20   20   27   17   26   33   15   26 11.339238 0.183208 SUCCESS  59
010100011   34   26   27   23   23   28   13   20 11.340562 0.183139 SUCCESS  60
010100111   33   25   25   23   20   35   18   19 11.798652 0.160416 SUCCESS  61
010101011   21   33   27   18   19   23   28   22  7.755941 0.457666 SUCCESS  62
010101111   23   28   24   23   18   15   25   29  7.111173 0.524687 SUCCESS  63
010110011   23   23   29   26   25   28   28   28  2.835446 0.944256 SUCCESS  64
010110111   32   31   15   26   29   23   22   23  9.451934 0.305616 SUCCESS  65
010111011   20   21   15   24   18   11   27   24 14.691504 0.065429 SUCCESS  66
010111111   19   34   25   22   21   24   26   24  6.010963 0.646004 SUCCESS  67
011000111   25   17   31   22   16   28   30   19 10.526327 0.230009 SUCCESS  68
011001111   19   22   21   22   17   21   26   34  9.034224 0.339417 SUCCESS  69
011010111   26   21   22   24   19   22   17   21  5.135163 0.743037 SUCCESS  70
011011111   26   30   11   33   32   31   13   28 22.526697 0.004028 FAILURE  71
011101111   31   20   20   16   28   15   21   32 13.703168 0.089838 SUCCESS  72
011111111   14   16   18   14   18   21   19   25 17.358620 0.026584 SUCCESS  73
100000000   18   30   21   23   25   17   29   26  6.976129 0.539210 SUCCESS  74
100010000   22   28   25   32   26   18   24   29  6.003681 0.646820 SUCCESS  75
100100000   24   27   24   23   26   17   30   22  4.383816 0.820941 SUCCESS  76
100101000   27   26   30   31   19   24   21   21  5.791185 0.670609 SUCCESS  77
100110000   30   18   19   28   26   21   26   19  6.789451 0.559511 SUCCESS  78
100111000   16   23   27   22   26   32   26   20  7.086680 0.527310 SUCCESS  79
101000000   30   28   26   30   24   27   35   31 10.218506 0.250023 SUCCESS  80
101000100   26   18   28   32   23   23   23   21  5.578690 0.694307 SUCCESS  81
101001000   24   25   16   23   20   19   30   37 13.204697 0.104998 SUCCESS  82
